symbol,entry_time,exit_time,exit_time_15m,side,setup,matched_rule,r_multiple,r15m,hours_to_expiry,expiry_blocked,applied_risk_pct,pretp1,taken,pnl_krw
AVAXUSDT,2025-08-05 12:00:00+00:00,2025-08-07 12:00:00+00:00,2025-08-07 15:45:00+00:00,long,a_mss+a_room+a_score_ge13+a_trend_counter,a_mss+a_room+a_score_ge13+a_trend_counter||range||long,0.0931625396955772,0.0931625396955774,572.0,False,11.209064665009105,True,False,0.0
DOGEUSDT,2025-08-06 04:00:00+00:00,2025-08-06 12:00:00+00:00,2025-08-06 09:00:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,2.015396224606541,2.5119647890551606,556.0,False,1.274894730091847,False,True,66998872.0
LINKUSDT,2025-08-06 04:00:00+00:00,2025-08-06 12:00:00+00:00,2025-08-06 09:00:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,2.020211224672107,2.497799145315848,556.0,False,1.056555032293037,False,True,55211463.0
BTCUSDT,2025-08-07 08:00:00+00:00,2025-08-07 12:00:00+00:00,2025-08-07 13:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-1.1292024540520793,-1.1292024540520773,528.0,False,1.056555032293037,True,True,-26417989.0
BNBUSDT,2025-08-07 16:00:00+00:00,2025-08-09 08:00:00+00:00,2025-08-09 09:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-1.0230209465973583,-1.0230209465973583,520.0,False,1.056555032293037,True,True,-23648299.0
LINKUSDT,2025-08-07 20:00:00+00:00,2025-08-08 00:00:00+00:00,2025-08-08 00:00:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-1.1517889050027297,-1.166384663083922,516.0,False,1.056555032293037,False,True,-26962315.0
DOGEUSDT,2025-08-08 08:00:00+00:00,2025-08-09 00:00:00+00:00,2025-08-09 01:45:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,-1.0279187407878283,-1.0279187407878283,504.0,False,1.056555032293037,True,True,-23468692.0
BTCUSDT,2025-08-09 16:00:00+00:00,2025-08-10 00:00:00+00:00,2025-08-09 21:15:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.8860566666666775,-0.0834583333333447,472.0,False,1.6227227595325122,False,True,-1587728.0
AVAXUSDT,2025-08-10 04:00:00+00:00,2025-08-12 04:00:00+00:00,2025-08-12 07:45:00+00:00,long,a_fvg_absent+a_room+a_score_ge13,a_fvg_absent+a_room+a_score_ge13||range||long,-0.4273307929407448,-0.4273307929407448,460.0,False,0.0,True,False,0.0
LINKUSDT,2025-08-11 08:00:00+00:00,2025-08-12 12:00:00+00:00,2025-08-13 11:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.2362523519859198,1.5856254109738182,432.0,False,0.996462384418414,False,True,33373285.0
ADAUSDT,2025-08-11 20:00:00+00:00,2025-08-14 08:00:00+00:00,2025-08-13 23:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,3.245857058108789,2.400293345722253,420.0,False,0.996462384418414,False,True,50519923.0
BTCUSDT,2025-08-11 20:00:00+00:00,2025-08-12 04:00:00+00:00,2025-08-12 05:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.0222181041955258,-0.0222181041955258,420.0,False,0.996462384418414,False,True,-467633.0
SOLUSDT,2025-08-11 20:00:00+00:00,2025-08-12 12:00:00+00:00,2025-08-12 17:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.5874769698222738,2.4682257776521115,420.0,False,0.996462384418414,False,True,51949724.0
DOGEUSDT,2025-08-14 08:00:00+00:00,2025-08-14 12:00:00+00:00,2025-08-14 12:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.0372375604310524,-1.037237560431052,360.0,False,0.996462384418414,True,True,-23230345.0
BTCUSDT,2025-08-14 12:00:00+00:00,2025-08-14 16:00:00+00:00,2025-08-14 16:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.3328333333333338,-1.3328333333333338,356.0,False,0.996462384418414,True,True,-26682271.0
SOLUSDT,2025-08-14 12:00:00+00:00,2025-08-14 20:00:00+00:00,2025-08-14 21:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.028056978505527,-1.0280569785055271,356.0,False,0.996462384418414,True,True,-22786757.0
BNBUSDT,2025-08-14 16:00:00+00:00,2025-08-14 20:00:00+00:00,2025-08-14 20:00:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.1575952737062525,-1.1575952737062525,352.0,False,0.996462384418414,True,True,-25350178.0
AVAXUSDT,2025-08-14 16:00:00+00:00,2025-08-15 12:00:00+00:00,2025-08-15 13:45:00+00:00,long,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||up||long,0.2285733151195453,0.2285733151195453,352.0,False,0.0,False,False,0.0
SOLUSDT,2025-08-19 04:00:00+00:00,2025-08-19 16:00:00+00:00,2025-08-19 16:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,-1.0463735175521818,-1.0463735175521818,244.0,False,4.315614007975119,True,True,-97067614.0
AVAXUSDT,2025-08-19 16:00:00+00:00,2025-08-20 12:00:00+00:00,2025-08-21 19:45:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion,a_fvg_absent+a_ob+a_room+a_trend_counter+a_vol_expansion||down||long,0.2049154826162884,0.459292913557713,232.0,False,6.000265304936625,False,False,0.0
ADAUSDT,2025-08-22 16:00:00+00:00,2025-08-24 16:00:00+00:00,2025-08-24 19:45:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.1183153363143375,0.1183153363143378,160.0,False,1.274894730091847,True,True,3095937.0
DOGEUSDT,2025-08-23 04:00:00+00:00,2025-08-23 08:00:00+00:00,2025-08-23 12:15:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,0.1232243733387057,0.5121654299297208,148.0,False,1.056555032293037,False,True,11106550.0
LINKUSDT,2025-08-23 16:00:00+00:00,2025-08-25 16:00:00+00:00,2025-08-25 19:15:00+00:00,long,a_fvg_absent+a_room+a_score_ge13,a_fvg_absent+a_room+a_score_ge13||range||long,-1.0138393683810007,-1.0138393683810007,136.0,False,0.0,True,False,0.0
AVAXUSDT,2025-08-24 04:00:00+00:00,2025-08-25 20:00:00+00:00,2025-08-25 20:30:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-1.0098336056331547,-1.0098336056331545,124.0,False,0.996462384418414,True,False,0.0
XRPUSDT,2025-08-25 12:00:00+00:00,2025-08-28 20:00:00+00:00,2025-08-28 23:45:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,-0.0034314082174329,-0.0034314082174329,92.0,False,1.274894730091847,True,True,-90410.0
LINKUSDT,2025-08-28 08:00:00+00:00,2025-08-28 12:00:00+00:00,2025-08-28 13:30:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||range||short,-1.137656268323159,0.5026997409750276,24.0,True,1.056555032293037,False,False,0.0
DOGEUSDT,2025-08-28 08:00:00+00:00,2025-08-29 00:00:00+00:00,2025-08-29 00:15:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.1795428488456804,0.1782895742606717,24.0,True,1.274894730091847,False,False,0.0
BTCUSDT,2025-09-01 08:00:00+00:00,2025-09-02 00:00:00+00:00,2025-09-02 02:45:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,0.5188778085503969,0.5188778085503968,600.0,False,1.4024953958902748,False,True,15039007.0
SOLUSDT,2025-09-01 20:00:00+00:00,2025-09-02 00:00:00+00:00,2025-09-02 00:00:00+00:00,long,a_fvg_absent+a_room+a_score_ge13,a_fvg_absent+a_room+a_score_ge13||range||long,0.94508803308616,-1.164404485839192,588.0,False,0.0,False,False,0.0
