symbol,side,entry_time,exit_time,entry,sl,r_multiple,net_pnl
SOLUSDT,short,2023-05-28 16:00:00+00:00,2023-05-28 20:00:00+00:00,20.515,20.581589285714287,-1.0,-1.0
SOLUSDT,long,2023-05-30 16:00:00+00:00,2023-05-31 14:19:00+00:00,20.841,20.381365714285714,-1.0,-1.0
SOLUSDT,short,2023-06-02 04:00:00+00:00,2023-06-02 19:34:00+00:00,20.957,21.302525714285714,-1.0,-1.0
SOLUSDT,short,2023-06-21 08:00:00+00:00,2023-06-21 12:00:00+00:00,16.682,16.76898214285714,-1.0,-1.0
SOLUSDT,long,2023-06-30 12:00:00+00:00,2023-07-05 20:59:00+00:00,17.25,15.68876,0.958853219235992,0.958853219235992
SOLUSDT,long,2023-07-14 16:00:00+00:00,2023-07-14 20:22:00+00:00,25.955,25.497925714285717,-1.0,-1.0
SOLUSDT,long,2023-08-17 20:00:00+00:00,2023-08-18 03:13:00+00:00,22.034,21.297365714285714,-1.0,-1.0
SOLUSDT,short,2023-08-29 12:00:00+00:00,2023-09-03 20:59:00+00:00,21.202,22.023857142857143,2.013731965930825,2.013731965930825
SOLUSDT,short,2023-09-18 08:00:00+00:00,2023-09-19 09:01:00+00:00,19.592,20.374354285714286,-1.0,-1.0
SOLUSDT,long,2023-10-02 12:00:00+00:00,2023-10-04 16:00:00+00:00,23.698,22.567354285714288,-1.0,-1.0
SOLUSDT,long,2023-10-24 00:00:00+00:00,2023-10-24 04:44:00+00:00,31.61,31.284642857142856,-1.0,-1.0
SOLUSDT,long,2023-10-26 12:00:00+00:00,2023-10-26 16:00:00+00:00,31.65,31.29530357142857,-1.0,-1.0
SOLUSDT,long,2023-11-02 20:00:00+00:00,2023-11-03 00:06:00+00:00,41.05,39.45982285714285,-1.0,-1.0
SOLUSDT,long,2023-11-15 00:00:00+00:00,2023-11-15 13:17:00+00:00,55.58,53.895582857142855,3.947705522554646,3.947705522554646
SOLUSDT,short,2023-11-22 12:00:00+00:00,2023-11-27 20:59:00+00:00,55.399,61.99700571428571,0.2076384985593046,0.2076384985593046
SOLUSDT,short,2023-11-28 16:00:00+00:00,2023-12-04 00:59:00+00:00,57.576,67.34257714285714,-0.6250910539794319,-0.6250910539794319
SOLUSDT,long,2023-12-04 08:00:00+00:00,2023-12-04 12:05:00+00:00,59.984,59.46201714285714,3.4139380603632024,3.4139380603632024
SOLUSDT,long,2023-12-06 12:00:00+00:00,2023-12-09 17:05:00+00:00,62.611,58.80997142857143,3.016807480681927,3.016807480681927
SOLUSDT,long,2023-12-22 04:00:00+00:00,2023-12-22 09:03:00+00:00,93.52,92.49285714285713,-1.0,-1.0
SOLUSDT,long,2024-01-03 12:00:00+00:00,2024-01-03 16:01:00+00:00,88.86,87.91025,13.04264280073712,13.04264280073712
SOLUSDT,short,2024-01-08 16:00:00+00:00,2024-01-08 20:00:00+00:00,96.935,97.87389285714286,-1.0,-1.0
SOLUSDT,short,2024-01-17 00:00:00+00:00,2024-01-22 08:59:00+00:00,100.825,108.23637714285714,1.714661088627448,1.714661088627448
SOLUSDT,long,2024-02-28 16:00:00+00:00,2024-02-29 17:42:00+00:00,108.132,100.07089714285713,2.312574032762616,2.312574032762616
SOLUSDT,long,2024-03-06 12:00:00+00:00,2024-03-07 03:38:00+00:00,130.4,126.76512,2.1822233471256207,2.1822233471256207
SOLUSDT,long,2024-03-19 08:00:00+00:00,2024-03-19 12:15:00+00:00,176.253,173.67576785714283,2.074228304174591,2.074228304174591
SOLUSDT,long,2024-03-28 16:00:00+00:00,2024-03-30 07:27:00+00:00,186.073,182.40102285714286,2.901712740197571,2.901712740197571
SOLUSDT,long,2024-04-03 16:00:00+00:00,2024-04-03 21:03:00+00:00,184.506,182.80230357142858,-1.0,-1.0
SOLUSDT,short,2024-05-15 08:00:00+00:00,2024-05-15 12:31:00+00:00,144.706,148.6067657142857,-1.0,-1.0
SOLUSDT,long,2024-05-21 12:00:00+00:00,2024-05-23 20:00:00+00:00,176.219,165.55792,-1.0,-1.0
SOLUSDT,short,2024-05-31 20:00:00+00:00,2024-06-01 03:02:00+00:00,166.971,167.87382142857143,-1.0,-1.0
SOLUSDT,short,2024-06-17 16:00:00+00:00,2024-06-23 00:59:00+00:00,144.668,151.97088000000002,1.3860285257323126,1.3860285257323126
SOLUSDT,short,2024-07-02 16:00:00+00:00,2024-07-05 10:14:00+00:00,153.337,161.99167428571428,2.843934376006883,2.843934376006883
SOLUSDT,short,2024-07-08 04:00:00+00:00,2024-07-10 04:27:00+00:00,135.11,144.80921714285714,-1.0,-1.0
SOLUSDT,long,2024-07-23 12:00:00+00:00,2024-07-23 17:11:00+00:00,172.5,170.55932571428573,-1.0,-1.0
SOLUSDT,long,2024-07-29 20:00:00+00:00,2024-08-01 14:59:00+00:00,182.412,164.93853142857142,-1.0,-1.0
SOLUSDT,long,2024-08-02 12:00:00+00:00,2024-08-02 16:00:00+00:00,161.848,160.4410892857143,-1.0,-1.0
SOLUSDT,long,2024-08-04 16:00:00+00:00,2024-08-05 01:06:00+00:00,134.544,129.41255999999998,-1.0,-1.0
SOLUSDT,short,2024-08-16 12:00:00+00:00,2024-08-21 20:59:00+00:00,143.192,152.46641142857143,0.020702122337221112,0.020702122337221112
SOLUSDT,short,2024-08-20 20:00:00+00:00,2024-08-23 17:57:00+00:00,144.23,148.1316457142857,-1.0,-1.0
SOLUSDT,short,2024-08-24 16:00:00+00:00,2024-08-28 03:58:00+00:00,161.323,164.51465714285715,4.114271135460316,4.114271135460316
SOLUSDT,long,2024-09-16 00:00:00+00:00,2024-09-16 08:34:00+00:00,130.134,129.68480357142855,3.9221228384018083,3.9221228384018083
SOLUSDT,short,2024-09-19 04:00:00+00:00,2024-09-19 09:22:00+00:00,138.224,139.01142857142855,-1.0,-1.0
SOLUSDT,long,2024-09-20 16:00:00+00:00,2024-09-26 00:59:00+00:00,147.237,140.19885714285715,-0.003409990460145872,-0.003409990460145872
SOLUSDT,short,2024-10-08 08:00:00+00:00,2024-10-12 10:53:00+00:00,143.909,146.9833942857143,-1.0,-1.0
SOLUSDT,long,2024-11-05 04:00:00+00:00,2024-11-05 15:06:00+00:00,159.53,157.46366285714288,2.9974115688492615,2.9974115688492615
SOLUSDT,short,2024-11-06 00:00:00+00:00,2024-11-06 04:00:00+00:00,179.4,180.40069642857142,-1.0,-1.0
SOLUSDT,long,2024-11-12 08:00:00+00:00,2024-11-17 16:59:00+00:00,210.13,194.40422857142858,1.498177695575235,1.498177695575235
SOLUSDT,short,2024-11-29 00:00:00+00:00,2024-11-29 12:00:00+00:00,240.68,245.94645714285716,-1.0,-1.0
SOLUSDT,short,2024-12-05 12:00:00+00:00,2024-12-05 22:31:00+00:00,243.46,249.07422857142856,2.4661930401327354,2.4661930401327354
SOLUSDT,long,2024-12-06 08:00:00+00:00,2024-12-09 12:01:00+00:00,233.33,225.32217142857144,-1.0,-1.0
SOLUSDT,short,2024-12-18 08:00:00+00:00,2024-12-19 21:06:00+00:00,220.23,228.0208,3.2652872618986386,3.2652872618986386
SOLUSDT,short,2024-12-31 20:00:00+00:00,2025-01-02 01:06:00+00:00,194.53,197.67685714285713,-1.0,-1.0
SOLUSDT,short,2025-01-16 12:00:00+00:00,2025-01-16 16:04:00+00:00,216.18,217.6732,3.962496651486732,3.962496651486732
