symbol,side,entry_ms,exit_ms,entry,sl,K,conf,r_v3,exit_reason,hold_h,entry_time,exit_time
AVAXUSDT,short,1741435200000,1741449600000,20.129,20.373337142857142,3.0,True,-1.0,SL,4.0,2025-03-08 12:00:00+00:00,2025-03-08 16:00:00+00:00
AVAXUSDT,short,1742774400000,1742788800000,20.973,21.444674285714285,2.0,False,-1.0,SL,4.0,2025-03-24 00:00:00+00:00,2025-03-24 04:00:00+00:00
AVAXUSDT,short,1742875200000,1743338700000,21.684,24.15816,3.0,True,0.9360752740324008,time_exit,128.75,2025-03-25 04:00:00+00:00,2025-03-30 12:45:00+00:00
AVAXUSDT,short,1743652800000,1743947100000,18.913,19.592885714285718,3.0,True,3.0,TP,81.75,2025-04-03 04:00:00+00:00,2025-04-06 13:45:00+00:00
AVAXUSDT,long,1746936000000,1747025100000,24.312,23.780520000000003,2.0,False,2.0,TP,24.75,2025-05-11 04:00:00+00:00,2025-05-12 04:45:00+00:00
AVAXUSDT,long,1747051200000,1747074600000,24.658,24.17246857142857,3.0,True,-1.0,SL,6.5,2025-05-12 12:00:00+00:00,2025-05-12 18:30:00+00:00
AVAXUSDT,short,1747627200000,1747839600000,22.592,23.188954285714285,3.0,True,-1.0,SL,59.0,2025-05-19 04:00:00+00:00,2025-05-21 15:00:00+00:00
AVAXUSDT,long,1749672000000,1749757500000,21.978,20.71001142857143,3.0,True,-1.0,SL,23.75,2025-06-11 20:00:00+00:00,2025-06-12 19:45:00+00:00
AVAXUSDT,long,1751644800000,1751666400000,17.539,17.42757142857143,2.0,False,2.0,TP,6.0,2025-07-04 16:00:00+00:00,2025-07-04 22:00:00+00:00
AVAXUSDT,short,1751976000000,1751992200000,18.009,18.087107142857143,2.0,False,-1.0,SL,4.5,2025-07-08 12:00:00+00:00,2025-07-08 16:30:00+00:00
AVAXUSDT,long,1752249600000,1752334200000,20.8,20.237422857142857,2.0,False,-1.0,SL,23.5,2025-07-11 16:00:00+00:00,2025-07-12 15:30:00+00:00
AVAXUSDT,long,1752494400000,1752799500000,21.32,19.80718857142857,2.0,False,2.0,TP,84.75,2025-07-14 12:00:00+00:00,2025-07-18 00:45:00+00:00
AVAXUSDT,long,1754395200000,1754858700000,22.432,20.34468571428572,2.0,False,0.6242471528690346,time_exit,128.75,2025-08-05 12:00:00+00:00,2025-08-10 20:45:00+00:00
AVAXUSDT,long,1754798400000,1755261900000,23.804,22.148462857142857,3.0,True,0.3539636682440586,time_exit,128.75,2025-08-10 04:00:00+00:00,2025-08-15 12:45:00+00:00
AVAXUSDT,long,1755187200000,1755576000000,24.137,23.003897142857145,3.0,True,-1.0,SL,108.0,2025-08-14 16:00:00+00:00,2025-08-19 04:00:00+00:00
AVAXUSDT,long,1755619200000,1755871200000,22.656,22.15208,2.0,False,2.0,TP,70.0,2025-08-19 16:00:00+00:00,2025-08-22 14:00:00+00:00
AVAXUSDT,long,1756008000000,1756153800000,25.661,23.177742857142857,3.0,True,-1.0,SL,40.5,2025-08-24 04:00:00+00:00,2025-08-25 20:30:00+00:00
AVAXUSDT,short,1756800000000,1756814400000,24.242,24.369982142857143,2.0,False,2.0,TP,4.0,2025-09-02 08:00:00+00:00,2025-09-02 12:00:00+00:00
AVAXUSDT,long,1756929600000,1756960200000,25.169,25.01967857142857,3.0,True,-1.0,SL,8.5,2025-09-03 20:00:00+00:00,2025-09-04 04:30:00+00:00
AVAXUSDT,long,1757592000000,1758055500000,28.52,26.51382857142857,3.0,True,0.7486897573202674,time_exit,128.75,2025-09-11 12:00:00+00:00,2025-09-16 20:45:00+00:00
AVAXUSDT,long,1757851200000,1757865600000,29.9,29.400577142857145,3.0,True,-1.0,SL,4.0,2025-09-14 12:00:00+00:00,2025-09-14 16:00:00+00:00
AVAXUSDT,short,1738339200000,1738422000000,36.031,37.32954857142857,2.0,False,2.0,TP,23.0,2025-01-31 16:00:00+00:00,2025-02-01 15:00:00+00:00
AVAXUSDT,long,1759233600000,1759265100000,28.948,28.513417142857143,3.0,True,3.0,TP,8.75,2025-09-30 12:00:00+00:00,2025-09-30 20:45:00+00:00
AVAXUSDT,long,1762876800000,1762891200000,17.432,17.30942857142857,2.0,False,-1.0,SL,4.0,2025-11-11 16:00:00+00:00,2025-11-11 20:00:00+00:00
AVAXUSDT,short,1763452800000,1763710200000,14.867,15.91046857142857,2.0,False,2.0,TP,71.5,2025-11-18 08:00:00+00:00,2025-11-21 07:30:00+00:00
AVAXUSDT,long,1764345600000,1764360000000,14.949,14.874502857142858,2.0,False,-1.0,SL,4.0,2025-11-28 16:00:00+00:00,2025-11-28 20:00:00+00:00
AVAXUSDT,long,1765411200000,1765859400000,13.266,12.153234285714284,3.0,True,-1.0,SL,124.5,2025-12-11 00:00:00+00:00,2025-12-16 04:30:00+00:00
AVAXUSDT,short,1766548800000,1766715300000,12.112,12.565491428571429,2.0,False,-1.0,SL,46.25,2025-12-24 04:00:00+00:00,2025-12-26 02:15:00+00:00
AVAXUSDT,short,1766793600000,1766823300000,12.408,12.467785714285714,2.0,False,-1.0,SL,8.25,2025-12-27 00:00:00+00:00,2025-12-27 08:15:00+00:00
AVAXUSDT,short,1767211200000,1767240000000,12.33,12.37417857142857,2.0,False,2.0,TP,8.0,2025-12-31 20:00:00+00:00,2026-01-01 04:00:00+00:00
AVAXUSDT,long,1767801600000,1767854700000,14.239,13.85037142857143,2.0,False,-1.0,SL,14.75,2026-01-07 16:00:00+00:00,2026-01-08 06:45:00+00:00
AVAXUSDT,long,1768233600000,1768320000000,13.72,13.449485714285714,3.0,True,3.0,TP,24.0,2026-01-12 16:00:00+00:00,2026-01-13 16:00:00+00:00
AVAXUSDT,short,1768651200000,1768780800000,13.86,14.38449142857143,2.0,False,2.0,TP,36.0,2026-01-17 12:00:00+00:00,2026-01-19 00:00:00+00:00
AVAXUSDT,short,1769544000000,1769844600000,11.978,12.671045714285713,2.0,False,2.0,TP,83.5,2026-01-27 20:00:00+00:00,2026-01-31 07:30:00+00:00
AVAXUSDT,short,1770249600000,1770336000000,9.72,10.378525714285717,3.0,True,3.0,TP,24.0,2026-02-05 00:00:00+00:00,2026-02-06 00:00:00+00:00
AVAXUSDT,short,1771833600000,1772025300000,8.602,9.46234857142857,2.0,False,-1.0,SL,53.25,2026-02-23 08:00:00+00:00,2026-02-25 13:15:00+00:00
AVAXUSDT,long,1772164800000,1772186400000,9.312,9.242410714285713,2.0,False,-1.0,SL,6.0,2026-02-27 04:00:00+00:00,2026-02-27 10:00:00+00:00
AVAXUSDT,long,1772539200000,1772553600000,8.94,8.885857142857143,2.0,False,2.0,TP,4.0,2026-03-03 12:00:00+00:00,2026-03-03 16:00:00+00:00
AVAXUSDT,long,1772798400000,1772818200000,8.94,8.880302857142857,2.0,False,-1.0,SL,5.5,2026-03-06 12:00:00+00:00,2026-03-06 17:30:00+00:00
AVAXUSDT,long,1773172800000,1773187200000,9.623,9.55625,2.0,False,-1.0,SL,4.0,2026-03-10 20:00:00+00:00,2026-03-11 00:00:00+00:00
AVAXUSDT,long,1774137600000,1774440000000,9.083,8.848205714285713,3.0,True,3.0,TP,84.0,2026-03-22 00:00:00+00:00,2026-03-25 12:00:00+00:00
AVAXUSDT,long,1775635200000,1776098700000,9.325,8.436514285714287,3.0,True,-0.049522461973822485,time_exit,128.75,2026-04-08 08:00:00+00:00,2026-04-13 16:45:00+00:00
AVAXUSDT,long,1776024000000,1776041100000,9.015,8.970535714285715,2.0,False,2.0,TP,4.75,2026-04-12 20:00:00+00:00,2026-04-13 00:45:00+00:00
AVAXUSDT,long,1776513600000,1776636000000,9.344,9.045457142857142,3.0,True,-1.0,SL,34.0,2026-04-18 12:00:00+00:00,2026-04-19 22:00:00+00:00
AVAXUSDT,long,1778169600000,1778255100000,9.495,9.364977142857144,2.0,False,2.0,TP,23.75,2026-05-07 16:00:00+00:00,2026-05-08 15:45:00+00:00
BNBUSDT,short,1645704000000,1645835400000,343.95,383.8310857142857,2.0,False,-1.0,SL,36.5,2022-02-24 12:00:00+00:00,2022-02-26 00:30:00+00:00
BNBUSDT,long,1646136000000,1646420400000,402.05,382.7070285714286,2.0,False,-1.0,SL,79.0,2022-03-01 12:00:00+00:00,2022-03-04 19:00:00+00:00
BNBUSDT,long,1646913600000,1646928000000,372.07,367.31982857142856,3.0,True,-1.0,SL,4.0,2022-03-10 12:00:00+00:00,2022-03-10 16:00:00+00:00
BNBUSDT,long,1648684800000,1648744200000,441.19,424.8897714285714,3.0,True,-1.0,SL,16.5,2022-03-31 00:00:00+00:00,2022-03-31 16:30:00+00:00
BNBUSDT,long,1648900800000,1648948500000,440.54,433.9635428571429,3.0,True,-1.0,SL,13.25,2022-04-02 12:00:00+00:00,2022-04-03 01:15:00+00:00
BNBUSDT,short,1649347200000,1649635200000,432.85,441.2754857142857,2.0,False,2.0,TP,80.0,2022-04-07 16:00:00+00:00,2022-04-11 00:00:00+00:00
BNBUSDT,long,1649664000000,1650127500000,402.51,385.73537142857145,2.0,False,0.667078853779178,time_exit,128.75,2022-04-11 08:00:00+00:00,2022-04-16 16:45:00+00:00
BNBUSDT,short,1653422400000,1653436800000,326.6,328.8421428571429,2.0,False,-1.0,SL,4.0,2022-05-24 20:00:00+00:00,2022-05-25 00:00:00+00:00
BNBUSDT,short,1658116800000,1658159100000,255.88,263.90245714285714,2.0,False,-1.0,SL,11.75,2022-07-18 04:00:00+00:00,2022-07-18 15:45:00+00:00
BNBUSDT,long,1659168000000,1659187800000,289.2,287.08392857142854,3.0,True,3.0,TP,5.5,2022-07-30 08:00:00+00:00,2022-07-30 13:30:00+00:00
BNBUSDT,long,1660363200000,1660377600000,325.33,323.9192857142857,2.0,False,2.0,TP,4.0,2022-08-13 04:00:00+00:00,2022-08-13 08:00:00+00:00
BNBUSDT,short,1660694400000,1660712400000,316.86,322.2517142857143,2.0,False,-1.0,SL,5.0,2022-08-17 00:00:00+00:00,2022-08-17 05:00:00+00:00
BNBUSDT,long,1660881600000,1661345100000,284.33,273.6158285714285,2.0,False,1.188146006890735,time_exit,128.75,2022-08-19 04:00:00+00:00,2022-08-24 12:45:00+00:00
BNBUSDT,short,1662552000000,1662694200000,267.09,286.8470285714285,2.0,False,-1.0,SL,39.5,2022-09-07 12:00:00+00:00,2022-09-09 03:30:00+00:00
